list_order,code,market,fund_name,latest_updated_prospectus_date,latest_prospectus_any_date,latest_product_summary_date,pcf_asof,pcf_rows,pcf_cash_flag,pcf_has_159900,prospectus_basis,creation_buy_deadline,redemption_sell_deadline,subscription_cash_substitution_mode,subscription_cash_substitution_settlement_time,subscription_fund_units_settlement_time,subscription_fund_units_available_time,cash_difference_announcement_time,cash_difference_clearing_time,cash_difference_settlement_time,subscription_cash_substitution_refund_time,redemption_fund_units_settlement_time,redemption_cash_substitution_mode,redemption_cash_substitution_arrival_time,rtgs_subscription,rtgs_basis,rtgs_note,same_day_netting_manager,same_day_netting_evidence,cash_difference_schedule,creation_cash_sub_schedule,redemption_cash_sub_schedule,overall_status,evidence_url,prospectus_file,prospectus_text_file,open_question
60,159167,SZ,港股通医疗ETF工银,,2026-01-16,,2026-09-09,50,必须,YES,initial_only,T日内,T日内,日间 RTGS/实时逐笔全额；日间未完成时日终逐笔全额非担保交收,T日日间 RTGS/实时逐笔全额交收；日间未完成时 T日日终交收,T 日,T日（基金份额交收完成后；招募书未另行说明可卖出时点）,T+1日,T+2 日,T+2 日,T+6 日 （指开放日） 内,T 日,代收代付,T+6 日（指开放日）内,PASS,fund_document,金替代、 现金差额及其他对价的清算交收适用深圳证券交易所、登记机构的相关规定和参与各方相关协议的有关规定。 本基金现金申购业务中的现金替代采用实时逐笔全额结算（RTGS）与日终逐笔全额非担保交收的方式处理； 现金赎回业务涉及的现金替代采用代收代付处理； 现金申购、 赎回业务涉及的现金差额和现金替代退补款采用代收代付处理。 投资者 T 日提交的现金申购申请受理后，日间完成 RTGS 交收部分，登记机构在 T 日日间实时为该投资者办理基金份额登记以及现金替代的交收；日间未完成 RTGS 交收部分， 登记机构在 T 日日终根据勾单情况及资金是否足额为投资者办理基金份额登记与现金替代的交收， 并将结果发送给申购赎回代理券商、 基金管理人和基金托管人。 基金管理人在T+2 日办理现金差额的,PENDING,not_found,T+2清算；T+2交收,T+6 日 （指开放日） 内， 基金管理人将应退款或补款的明细及汇总数据发送给登记机构， 登记机构办理现金替代多退少补资金的清算， 并将结果发送给申购赎回代理券商和结算参与人， 由相关申购赎回代理券商和结算参与人办理交收,T 日根据赎回申请代投资者卖出被替代证券,PENDING,"https://fund.eastmoney.com/gonggao/159167,AN202601151817051566.html",/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/159167/159167_招募说明书_20260116.pdf,/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/159167/159167_招募说明书_20260116.txt,东财暂未找到更新招募书，继续监测；向基金管理人/托管运营确认同日申赎是否按证券维度净额下单
61,520750,SH,华富中证港股通信息技术综合ETF,2026-08-28,2026-08-28,2026-07-10,2026-09-09,67,必须,NO,updated,T日内,T日内,招募书未直接说明,T日,T日,T日（基金份额交收完成后；招募书未另行说明可卖出时点）,T+1日,T+2 日内,T+2 日内,T日后的3个港股通交收日内,T 日,代收代付,T日后的4个港股通交收日内,PASS,fund_document,现金差额及其他对价的清算交收适用上海证券交易所、登记机构相关业务规则以及参与各方相关协议及其不时修订的有关规定。 本基金申购业务采用实时逐笔全额结算 （RealRTGS）模式；赎回业务涉及的现金替代采用代收代付处理；申购、赎回业务涉及的现金差额和现金替代退补款采用代收代付处理。 1）申购的清算交收投资者T日申购后，如交易记录已勾单且申购资金足额的，登记机构在T日日间实时办理基金份额及现金替代的交收；T日日间未进行勾单确认或日间资金不足的，登记机构在 T 日日终根据资金是否足额办理基金份额及现金替代的清算交收，并将结果发送给基金管理人、申购赎回代理机构和基金托管人。基金管理人在T+2 日内办理现金差额的清算交收。 2）赎回的清算交收投资人 T 日提交的赎回申请受理后，由登记机构在,PENDING,not_found,T+2清算；T+2交收,T日后的3个港股通交收日内，基金管理人将应退款或补款与相关申购赎回代理机构办理交收,T日赎回申请，T日内，基金管理人根据赎回规模进行组合证券的代理卖出,PENDING,"https://fund.eastmoney.com/gonggao/520750,AN202608271828553186.html",/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/520750/520750_更新招募说明书_20260828.pdf,/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/520750/520750_更新招募说明书_20260828.txt,向基金管理人/托管运营确认同日申赎是否按证券维度净额下单
62,513780,SH,景顺长城中证港股通创新药ETF,2026-06-30,2026-06-30,2026-06-30,2026-09-09,42,必须,NO,updated,T日内,T日内,招募书未直接说明,待人工复核,待人工复核,招募书未直接说明,待人工复核,待人工复核,待人工复核,T 日后的三个港股通交易日内,待人工复核,招募书未直接说明,待人工复核,PASS,fund_document,规则和参与各方相关协议的有关规定及其不时修订的有关规定。 本基金申购业务采用实时逐笔全额结算（Real Time Gross Settlement ，以下简称 RTGS）模式；赎回业务涉及的现金替代可采用代收代付处理；申购、赎回业务涉及的现金差额和现金替代退补款可采用代收代付处理。 （1）申购的清算交收投资者T 日现金申购后， 如交易记录已勾单且申购资金足额的， 登记机构在T 日日间景顺长城中证港股通创新药交易型开放式指数证券投资基金更新招募说明书 41 实时办理基金份额及现金替代的交收；T 日日间未进行勾单确认或日间资金不足的，登记机构在 T 日日终根据资金是否足额办理基金份额及现金替代的清算交收。基金管理人在 T+1 日内办理现金差额的清算，在T+2 日内办理现金差额的交收。,PENDING,risk_or_non_operational,待人工复核,T 日后的三个港股通交易日内，基金管理人将应退款或补款与相关申购赎回代理券商办理交收， 当交收期间出现港股通交易日为非港股通交收日时， 款项交收日期顺延,T 日赎回申请，基金管理人有权在 T 日内任意时刻代投资者卖出小于等于被替代证券数量的任意数量的被替代证券,PENDING,"https://fund.eastmoney.com/gonggao/513780,AN202606291826547111.html",/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/513780/513780_更新招募说明书_20260630.pdf,/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/513780/513780_更新招募说明书_20260630.txt,向基金管理人/托管运营确认同日申赎是否按证券维度净额下单
63,159185,SZ,鹏华中证港股通信息技术综合ETF,,2026-03-13,,2026-09-09,68,必须,YES,initial_only,T日内,T日内,日间 RTGS/实时逐笔全额；日间未完成时日终逐笔全额非担保交收,T 日,T 日,T日（基金份额交收完成后；招募书未另行说明可卖出时点）,T+1日,T日,T+2日,T+3日（指港股通交易日）内,T日,代收代付,T日后的第3个港股通交易日后的2个工作日内,PASS,fund_document,用《业务规则》和参与各方相关协议的有关规定。 本基金现金申购业务中的现金替代采用实时逐笔全额结算 （ Real Time Gross Settlement，简称RTGS）模式；赎回业务涉及的现金替代采用代收代付处理；申购、赎回业务涉及的现金差额和现金替代退补款采用代收代付处理。 （1）申购的清算交收投资者T日提交的申购申请受理后，如交易记录已勾单且申购资金足额的，登记机构在T 日日间实时办理基金份额及现金替代的交收；T日日间未进行勾单确认或日间资金不足的， 登记机构在T日日终根据资金是否足额办理基金份额及现金替代的清算交收，并将结果发送鹏华中证港股通信息技术综合交易型开放式指数证券投资基金招募说明书 38 给基金管理人、申购赎回代理券商和基金托管人。基金管理人与申购赎回代理券商在,PENDING,risk_or_non_operational,T+?清算；T+2交收,T+3日（指港股通交易日）内，基金管理人将应退款和补款的明细及汇总数据发送给登记机构，登记机构办理现金替代多退少补资金的清算，并将结果发送给相关申购赎回代理券商和基金托管人,T日赎回申请，通常情况下T日内基金管理人根据赎回规模进行组合证券的代理卖出,PENDING,"https://fund.eastmoney.com/gonggao/159185,AN202603121820527038.html",/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/159185/159185_招募说明书_20260313.pdf,/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/159185/159185_招募说明书_20260313.txt,东财暂未找到更新招募书，继续监测；向基金管理人/托管运营确认同日申赎是否按证券维度净额下单
64,513980,SH,景顺长城中证港股通科技ETF,2026-06-30,2026-06-30,2026-06-30,2026-09-09,50,必须,NO,updated,T日内,T日内,招募书未直接说明,T日,T日,T日（基金份额交收完成后；招募书未另行说明可卖出时点）,T 日,T+1日内,T+2日内,T 日后的三个港股通交易日内,T日,代收代付,自有效赎回申请之日起 7 个开放日内,PASS,fund_document,相关业务规则和参与各方相关协议及其不时修订的有关规定。 本基金申购业务采用实时逐笔全额结算 （Real Time Gross Settlement， 以下简称 RTGS）模式；赎回业务涉及的现金替代可采用代收代付处理；申购、赎回业务涉及的现金差额和现金替代退补款可采用代收代付处理。 （1）申购的清算交收投资者T日现金申购后，如交易记录已勾单且申购资金足额的，登记机构在T日日间实时办理基金份额及现金替代的交收；T日日间未进行勾单确认或日间资金不足的，登记机构在T日日终根据资金是否足额办理基金份额及现金替代的清算交收，并将结果发送给基金管理人、申购赎回代理券商和基金托管人。基金管理人在T+1日内办理现金差额的清算，在T+2日内办理现金差额的交收。若发生特殊情况，基金管理人可以对清算交,PENDING,risk_or_non_operational,T+2清算；T+2交收,T 日后的三个港股通交易日内，基金管理人将应退款或补款与相关申购赎回代理券商办理交收， 当交收期间出现港股通交易日为非港股通交收日时，款项交收日期顺延,T 日赎回申请，基金管理人有权在 T 日内任意时刻代投资者卖出小于等于被替代证券数量的任意数量的被替代证券,PENDING,"https://fund.eastmoney.com/gonggao/513980,AN202606291826547102.html",/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/513980/513980_更新招募说明书_20260630.pdf,/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/513980/513980_更新招募说明书_20260630.txt,向基金管理人/托管运营确认同日申赎是否按证券维度净额下单
65,520510,SH,华夏中证港股通医疗主题ETF,2026-06-30,2026-06-30,2026-06-30,2026-09-09,49,必须,NO,updated,T日内,T日内,招募书未直接说明,T 日,T 日,T日（基金份额交收完成后；招募书未另行说明可卖出时点）,T+1日,T 日,T+2 日内,T 日后的第2 个港股通交易日后的 2 个工作日内,T 日,代收代付,T 日后的第 3 个港股通交易日后的第 2 个工作日内,PASS,fund_document,适用相关业务规则和参与各方相关协议及其不时修订的有关规定。 本基金申购业务采用实时逐笔全额结算（Real Time Gross Settlement，以下简称 RTGS） 模式； 赎回业务涉及的现金替代可采用代收代付处理； 申购、 赎回业务涉及的现金差额和现金替代退补款可采用代收代付处理。 1）申购的清算交收投资者 T 日现金申购后，如交易记录已勾单且申购资金足额的，登记机构在 T 日日间实时办理基金份额及现金替代的交收；T 日日间未进行勾单确认或日间资金不足的， 登记机构在 T 日日终根据资金是否足额办理基金份额及现金替代的清算交收，并将结果发送给基金管理人、 申购赎回代理机构和基金托管人。 基金管理人在T+2 日内办理现金差额的交收。 2）赎回的清算交收投资者 T 日赎回申请,PENDING,risk_or_non_operational,T+1清算；T+2交收,T 日在证券交易所无交易的， 取最近交易日的收盘价,T 日内，基金管理人根据赎回规模进行被替代证券的代理卖出,PENDING,"https://fund.eastmoney.com/gonggao/520510,AN202606291826547060.html",/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/520510/520510_更新招募说明书_20260630.pdf,/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/520510/520510_更新招募说明书_20260630.txt,向基金管理人/托管运营确认同日申赎是否按证券维度净额下单
66,159169,SZ,广发恒生生物科技ETF,2026-07-06,2026-07-06,2026-07-06,2026-09-09,31,必须,YES,updated,T日内,T日内,招募书未直接说明,T 日,T 日,T日（T日日间完成 RTGS）；T+1日（T日日终逐笔全额非担保交收）,T+1日,T+1 日内,T+2 日,T+3 日（指港股通交易日）内,T 日,代收代付,自有效赎回申请之日起 7 个开放日内,PASS,fund_document,等相关的交收方式已经认可。 根据本基金现行适用的清算交收和申赎处理规则，投资者当日申购的基金份额，清算交收完成后方可卖出和赎回，即T日申购的ETF份额且日间完成RTGS（实时逐笔全额结算）交收，T日可卖出与赎回， 而T日申购的ETF份额且日终完成逐笔全额非担保交收的，T+1日方可卖出和赎回；T日竞价买入的基金份额，T日可以卖出或赎回。由于登记结算机构对现金替代采取非净额结算交收模式，当投资者赎回申请被登记结算机构确认后，被赎回的基金份额即被记减，但此时投资者尚未收到赎回现金替代款。 投资者投资本基金时需具有证券账户，证券账户是指深圳证券交易所 A股账户或深圳证券交易所证券投资基金账户。 本基金以1元初始面值进行募集，在市场波动等因素的影响下，存在单位份额净值跌破 1 元初始面值的,PENDING,not_found,T+1清算；T+2交收,T 日内，基金管理人以收到的替代金额代投资者买入被替代证券,见招募书处理程序,PENDING,"https://fund.eastmoney.com/gonggao/159169,AN202607051826729073.html",/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/159169/159169_更新招募说明书_20260706.pdf,/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/159169/159169_更新招募说明书_20260706.txt,向基金管理人/托管运营确认同日申赎是否按证券维度净额下单
67,513120,SH,广发中证香港创新药(QDII-ETF),2026-07-06,2026-07-06,2026-07-06,2026-09-09,42,必须,NO,updated,T日内,T日内,招募书未直接说明,T 日,T 日,T日（T日日间完成 RTGS）；T+1日（T日日终逐笔全额非担保交收）,T+1日,T+1 日,T+2 日,T+3 日（指上海证券交易所与香港交易所的共同交易日）内,T 日,代收代付,T 日,PASS,fund_document,易价格折溢价的风险。 根据本基金现行适用的清算交收和申赎处理规则，投资者当日申购的基金份额，清算交收完成后方可卖出和赎回，即T 日申购的ETF 份额且日间完成 RTGS（实时逐笔全额结算）交收，T 日可卖出与赎回， 而T 日申购的 ETF 份额且日终完成逐笔全额非担保交收的，T+1 日方可卖出和赎回；T 日买入的基金份额，T 日可以赎回或卖出。 投资者投资本基金时需具有证券账户，证券账户是指上海证券交易所 A 股账户或上海证券交易所证券投资基金账户。 本基金以 1 元初始面值进行募集，在市场波动等因素的影响下，存在单位份额净值跌破 1 元初始面值的风险。 基金管理人提醒投资人基金投资的 “买者自负” 原则， 在投资人作出投资决策后，基金运营状况与基金净值变化引致的投资风险，由投资,PENDING,not_found,T+1清算；T+2交收,T 日（指香港交易所交易日）日终，基金管理人已买入的证券，依据申购现金替代保证金与被替代证券的实际买入成本（包括买入价格与相关交易费用）的差额，确定基金应退还投资者或投资者应补交的款项,T 日申购、赎回清单中公告 T 日预估现金部分,PENDING,"https://fund.eastmoney.com/gonggao/513120,AN202607051826729984.html",/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/513120/513120_更新招募说明书_20260706.pdf,/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/513120/513120_更新招募说明书_20260706.txt,向基金管理人/托管运营确认同日申赎是否按证券维度净额下单
68,513280,SH,汇添富恒生生物科技ETF(QDII),2026-08-06,2026-08-06,2026-08-06,2026-09-09,30,必须,NO,updated,T日内,T日内,招募书未直接说明,T 日,T 日,T日（基金份额交收完成后；招募书未另行说明可卖出时点）,T+1日,T+1 日内,T+2 日内,T 日后的第 3 个港股通交易日内,T 日,代收代付,自有效赎回申请之日起 10 个开放日内,PASS,fund_document,的指数相似的风险收益特征。 根据本基金现行适用的清算交收和申赎处理规则， 投资者当日申购的基金份额，清算交收完成后方可卖出和赎回，即T日申购的基金份额且日间完成实时逐笔全额结算（Real Time Gross Settlement）交收的，T日可卖出和赎回，而T日申购的基金份额且日终完成逐笔全额非担保交收的，T+1日方可卖出和赎回。 投资有风险， 投资者在进行投资决策前， 请仔细阅读本基金的 《招募说明书》 、 《基金合同》 、 基金产品资料概要等信息披露文件， 并根据自身的投资目的、 投资期限、投资经验、资产状况等判断基金是否和投资者的风险承受能力相适应， 自主判断基金的投资价值，自主做出投资决策，自行承担投资风险。 基金的过往业绩并不预示其未来表现， 基金管理人管理的其他基金的业,PASS,fund_specific_explicit,T+2清算；T+2交收,T 日在证券交易所无交易的，取最近交易日的收盘价,T 日赎回申请，在 T 日内，基金管理人可以通过在香港市场交易或港股通等方式代投资者卖出被替代证券,PASS,"https://fund.eastmoney.com/gonggao/513280,AN202608051827677097.html",/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/513280/513280_更新招募说明书_20260806.pdf,/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/513280/513280_更新招募说明书_20260806.txt,
69,159506,SZ,富国恒生港股通创新药及医疗保健ETF,2026-06-11,2026-06-11,2026-05-08,2026-09-09,41,必须,YES,updated,T日内,T日内,招募书未直接说明,T 日,T 日,T日（T日日间完成 RTGS）；T+1日（T日日终逐笔全额非担保交收）,T+1日,T+1 日,T+2 日,T 日后的 5 个工作日内,T 日,代收代付,T 日后的第 4 个港股通交收日后的 1 个工作日内,PASS,fund_document,份额持有人大会审议。 根据本基金现行适用的清算交收和申赎处理规则， 投资者当日申购的基金份额，清算交收完成后方可卖出和赎回，即 T 日申购的基金份额且日间完成 RTGS （实时逐笔全额结算）交收的，T 日可卖出和赎回，而T 日申购的基金份额且日终完成逐笔全额非担保交收的，T+1 日方可卖出和赎回；T 日竞价买入的基金份额，T 日可以卖出或赎回；T 日大宗买入的基金份额，T 日可以大宗卖出，T+1 日可以竞价卖出或赎回。 投资有风险， 投资者认购 （或申购） 基金时应认真阅读本招募说明书、 基金合同、 基金产品资料概要等信息披露文件， 自主判断基金的投资价值， 自主做出投资决策，自行承担投资风险。基金管理人提醒投资者基金投资的“买者自负” 原则， 在投资者作出投资决策后， 基金运营,PENDING,not_found,T+2清算；T+2交收,T 日后的 5 个工作日内， 基金管理人将应退款或补款与相关申购赎回代理机构办理交收,T 日赎回申请，T 日内基金管理人根据赎回规模进行组合证券的代理卖出,PENDING,"https://fund.eastmoney.com/gonggao/159506,AN202606111823444520.html",/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/159506/159506_更新招募说明书_20260611.pdf,/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/159506/159506_更新招募说明书_20260611.txt,向基金管理人/托管运营确认同日申赎是否按证券维度净额下单
70,520690,SH,博时恒生港股通创新药精选ETF,2025-11-28,2025-11-28,2026-06-26,2026-09-09,48,必须,NO,updated,T日内,T日内,日间 RTGS/实时逐笔全额；日间未完成时日终逐笔全额非担保交收,T 日收市后,T 日收市后,T日（基金份额交收完成后；招募书未另行说明可卖出时点）,T+1日,T+2 日内,T+2 日内,T 日后的两个工作日内,T 日,代收代付,自有效赎回申请之日起 7 个开放日内,PASS,fund_document,务规则和参与各方相关协议的有关规定。 博时恒生港股通创新药精选交易型开放式指数证券投资基金更新招募说明书第 45页共 139页本基金现金申购业务中的现金替代采用实时逐笔全额结算 （Real Time Gross Settlement）模式；现金赎回业务中的现金替代采用代收代付处理； 现金申购、赎回业务涉及的现金差额和现金替代退补款采用代收代付处理。 投资者 T 日申购成功后，登记机构在 T 日收市后为投资者办理基金份额的交收登记以及现金替代的清算和交收；在 T+2 日内办理现金差额的清算交收，并将结果发送给申购赎回代理券商、基金管理人和基金托管人。若发生特殊情况，基金管理人可以对清算交收日期进行相应调整。 投资者 T 日赎回成功后，登记机构在 T 日收市后办理基金份额的注销；在 T+,PENDING,not_found,T+2清算；T+2交收,T 日后的两个工作日内，基金管理人将应退款或补款与相关申购赎回代理机构办理交收,T 日（指开放日）无交易的，取最近交易日的收盘价,PENDING,"https://fund.eastmoney.com/gonggao/520690,AN202511271789422767.html",/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/520690/520690_更新招募说明书_20251128.pdf,/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/520690/520690_更新招募说明书_20251128.txt,向基金管理人/托管运营确认同日申赎是否按证券维度净额下单
71,520810,SH,易方达中证港股通高股息投资ETF,,2025-11-28,2026-08-11,2026-09-09,30,必须,NO,initial_only,T日内,T日内,招募书未直接说明,T 日,T 日,T日（T日日间完成 RTGS）；T+1日（T日日终逐笔全额非担保交收）,T+1日,T+1 日内,T+3 日内,T 日后的 3 个港股通交易日内,T 日收市后,代收代付,自有效赎回申请之日起 7 个工作日内,PASS,fund_document,息泄露的风险等。 7、根据本基金现行适用的清算交收和申赎处理规则，投资者当日申购的基金份额， 清算交收完成后方可卖出和赎回，即 T 日申购的基金份额且日间完成 RTGS（实时逐笔全额结算）交收，T 日可卖出和赎回，而 T 日申购的基金份额且日终完成逐笔全额非担保交收， T+1 日方可卖出和赎回；T 日买入的基金份额，T 日可以赎回或卖出。 投资者投资于本基金前请认真阅读证券交易所和登记结算机构关于 ETF 的相关业务规则及其不时的更新，确保具备相关专业知识、清楚了解相关规则流程后方可参与本基金的认购、申购、赎回及交易。投资者一旦认购、申购或赎回本基金，即表示对基金认购、申购和赎回所涉及的登记方式以及申购赎回所涉及现金替代、现金差额等相关的交收方式及业务规则已经认可。 8、基金管理,PASS,fund_specific_explicit,T+1清算；T+3交收,T 日后的 3 个港股通交易日内，基金管理人将成份证券的应退款或补款与相关申购赎回代理券商办理交收，当交收期间出现港股通交易日为非港股通交收日时，款项交收日期顺延,T 日内卖出组合证券中被替代的成份证券,PENDING,"https://fund.eastmoney.com/gonggao/520810,AN202511281789756362.html",/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/520810/520810_招募说明书_20251128.pdf,/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/520810/520810_招募说明书_20251128.txt,东财暂未找到更新招募书，继续监测
72,159545,SZ,易方达恒生港股通高股息低波动ETF,2026-01-14,2026-01-14,2026-08-11,2026-09-09,50,必须,YES,updated,T日内,T日内,招募书未直接说明,T 日,T 日,T日（T日日间完成 RTGS）；T+1日（T日日终逐笔全额非担保交收）,T+1日,T+1 日,T 日,T 日后的三个港股通交易日内,T 日,招募书未直接说明,自有效赎回申请之日起 7 个工作日内,PASS,fund_document,易结算风险、基金投资非公开信息泄露的风险等。 6、在目前结算规则下，投资者当日申购的基金份额，清算交收完成后方可卖出和赎回，即 T 日申购的基金份额且日间完成 RTGS（实时逐笔全额结算）交收的，T 日可卖出和赎回，而 T 日申购的基金份额且日终完成逐笔全额非担保交收的，T+1 日方可卖出和赎回； T 日竞价买入的基金份额，T 日可以卖出或赎回；T 日大宗买入的基金份额，T 日可以大宗卖出，T+1 日可以竞价卖出或赎回。 投资者投资于本基金前请认真阅读证券交易所和登记结算机构关于 ETF 的相关业务规则及其不时的更新，确保具备相关专业知识、清楚了解相关规则流程后方可参与本基金的认购、申购、赎回及交易。投资者一旦认购、申购或赎回本基金，即表示对基金认购、申购和赎回所涉及的登记方式以,PENDING,not_found,T+1清算；T+1交收,T 日后的三个港股通交易日内，基金管理人将应退款或补款与相关申购赎回代理券商办理交收，当交收期间出现港股通交易日为非港股通交收日时 ，款项交收日期顺延,T 日赎回申请，基金管理人根据 T 日所卖出的被替代港市成份证券的实际单位卖出金额（扣除相关费用，折算为人民币）和未卖出的被替代港市成份证券的 T 日收盘价（折算为人民币，折算汇率采用当天的估值汇率，被替代证券当日在证券交易所无交易的，取最近交易,PENDING,"https://fund.eastmoney.com/gonggao/159545,AN202601131816986895.html",/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/159545/159545_更新招募说明书_20260114.pdf,/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/159545/159545_更新招募说明书_20260114.txt,向基金管理人/托管运营确认同日申赎是否按证券维度净额下单
73,513800,SH,南方顶峰TOPIX(ETF-QDII),2026-08-12,2026-08-12,2026-08-12,2026-09-09,1,必须,NO,updated,T+1,T+1,招募书未直接说明,T日,T日,T日（基金份额交收完成后；招募书未另行说明可卖出时点）,T+1日,T日,T日,T+1日后的第3个上海证券交易所和东京证券交易所的共同交易日内,T日,代收代付,自有效赎回申请之日起10个工作日内,PASS,fund_document,适用相关《业务规则》和参与各方相关协议及其不时修订的有关规定。本基金申购业务采用实时逐笔全额结算（Real Time Gross Settlement，以下简称RTGS）模式；赎回业务涉及的现金替代可采用代收代付处理；申购、赎回业务涉及的现金差额和现金替代退补款可采用代收代付处理。 投资者T日现金申购后，如交易记录已勾单且申购资金足额的，登记机构在T日日间实时办理基金份额及现金替代的交收；T日日间未进行勾单确认或日间资金不足的，登记机构在T日日终根据资金是否足额办理基金份额及现金替代的清算交收， 在T+1日办理现金差额的清算，并将结果发送给基金管理人、申购赎回代理券商和基金托管人。基金管理人与申购赎回代理券商在T+2日办理现金差额的交收。 投资者T 日赎回申请受理后，登记机构在T,PENDING,not_found,T+1清算；T+1交收,T日后至T+1日期间被替代的证券发生重要权益变动，则进行相应调整,T日现金赎回申请，基金管理人将在T+1日内，卖出相应的成份证券,PENDING,"https://fund.eastmoney.com/gonggao/513800,AN202608111827864224.html",/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/513800/513800_更新招募说明书_20260812.pdf,/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/513800/513800_更新招募说明书_20260812.txt,向基金管理人/托管运营确认同日申赎是否按证券维度净额下单
74,159130,SZ,鹏华恒生生物科技ETF,2026-08-06,2026-08-06,2026-08-06,2026-09-09,31,必须,YES,updated,T日内,T日内,日间 RTGS/实时逐笔全额；日间未完成时日终逐笔全额非担保交收,T 日,T 日,T日（T日日间完成 RTGS）；T+1日（T日日终逐笔全额非担保交收）,T+1日,T 日,T+2 日,T+3 日（指港股通交易日）内,T 日,代收代付,T 日后的第 3 个港股通交易日后的 2 个工作日内,PASS,fund_document,与基金的申购、赎回，则应开立深圳 A 股账户。 在目前结算规则下，投资者当日申购的基金份额，清算交收完成后方可卖出和赎回， 即 T 日申购的基金份额且日间完成 RTGS（实时逐笔全额结算）交收的，T 日可卖出和赎回，而 T 日申购的基金份额且日终完成逐笔全额非担保交收的，T+1 日方可卖出和赎回。T 日竞价买入的基金份额，T 日可以卖出或赎回；T 日大宗买入的基金份额，T 日可以大宗卖出，T+1 日可以竞价卖出或赎回。由于登记机构对赎回的现金替代采取非净额结算交收模式，当投资者赎回申请被登记机构确认后，被赎回的基金份额即被记减，但此时投资者尚未收到赎回现金替代款。 5 基金的过往业绩并不预示其未来表现，基金管理人管理的其他基金的业绩并不构成对本基金表现的保证。 基金管理人依照恪尽,PENDING,risk_or_non_operational,T+?清算；T+2交收,T+3 日（指港股通交易日）内，基金管理人将应退款和补款的明细及汇总数据发送给登记机构，登记机构办理现金替代多退少补资金的清算，并将结果发送给相关申购赎回代理券商和基金托管人,T 日赎回申请，通常情况下 T 日内基金管理人根据赎回规模进行组合证券的代理卖出,PENDING,"https://fund.eastmoney.com/gonggao/159130,AN202608061827696128.html",/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/159130/159130_更新招募说明书_20260806.pdf,/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/159130/159130_更新招募说明书_20260806.txt,向基金管理人/托管运营确认同日申赎是否按证券维度净额下单
75,520930,SH,国泰恒生生物科技ETF,,2026-01-08,,2026-09-09,30,必须,NO,initial_only,T日内,T日内,招募书未直接说明,T 日,T 日,T日（基金份额交收完成后；招募书未另行说明可卖出时点）,T+1日,T+1 日内,T+2 日内,T 日后的 3 个港股通交收日内,T 日收市后,代收代付,自有效赎回申请之日起 7 个开放日内,PASS,fund_document,记机构相关业务规则以及参与各方相关协议及其不时修订的有关规定。 本基金申购业务采用实时逐笔全额结算（Real Time Gross Settlement，简称 RTGS）模式；赎回业务涉及的现金替代采用代收代付处理；申购、赎回业务涉及的现金差额和现金替代退补款采用代收代付处理。 投资者 T 日申购后，如交易记录已勾单且申购资金足额的，登记机构在 T 日日间实时办理基金份额及现金替代的交收；T 日日间未进行勾单确认或日间资金不足的，登记机构在 T 日日终根据资金是否足额办理基金份额及现金替代的清算交收；在 T+1 日内办理现金差额的清算，并将结果发送给申购赎回代理券商、基金管理人和基金托管人。基金管理人与申购赎回代理券商在 T+2 日内办理现金差额的交收。 投资者 T 日赎回申请受,PENDING,not_found,T+1清算；T+2交收,T 日后的 3 个港股通交收日内，基金管理人将应退款或补款与相关机构办理交收,T 日赎回申请，基金管理人在 T 日内卖出组合证券中被替 44 代证券,PENDING,"https://fund.eastmoney.com/gonggao/520930,AN202601071816822412.html",/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/520930/520930_招募说明书_20260108.pdf,/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/520930/520930_招募说明书_20260108.txt,东财暂未找到更新招募书，继续监测；向基金管理人/托管运营确认同日申赎是否按证券维度净额下单
